,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
139,Ursus americanus,142041,-103.33083,25.35972,,False,3,-0.23,Mammalia,Carnivora,Ursidae,1169,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=95f2e1d1e230924c4670d29d4c1449e2,95f2e1d1e230924c4670d29d4c1449e2,Si,NoDisponible,No,No,Si,,,,
95,Ursus americanus,166113,-100.3012488,25.6065,,False,4,31.43,Mammalia,Carnivora,Ursidae,872,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=977d636286f8ab61d1e972de497dd1ba,977d636286f8ab61d1e972de497dd1ba,No,NoDisponible,,,,,,,
93,Ursus americanus,161179,-100.9267963,25.3244283,,False,4,35.46,Mammalia,Carnivora,Ursidae,2363,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=984ee29eac4bbee1ea463bf083749b98,984ee29eac4bbee1ea463bf083749b98,No,NoDisponible,,,,,,,
58,Ursus americanus,147255,-102.5424239,29.06028,,False,4,25.81,Mammalia,Carnivora,Ursidae,1360,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=99680acb85c602c79e0e6767be212625,99680acb85c602c79e0e6767be212625,No,NoDisponible,,,,,,,
96,Ursus americanus,166113,-100.2798252,25.6059277,,False,4,31.43,Mammalia,Carnivora,Ursidae,667,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9bd23c054f42f8701d6f166f51f64bf9,9bd23c054f42f8701d6f166f51f64bf9,No,NoDisponible,,,,,,,
76,Ursus americanus,166092,-100.3261769,25.6195249,,False,3,16.32,Mammalia,Carnivora,Ursidae,849,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a05458b1077de12bd1f47ad528e2dfaf,a05458b1077de12bd1f47ad528e2dfaf,No,NoDisponible,,,,,,,
164,Ursus americanus,152047,-101.8252778,28.7936111,,False,3,10.61,Mammalia,Carnivora,Ursidae,953,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a1f1d96ba45b7937274d370a8fe14660,a1f1d96ba45b7937274d370a8fe14660,No,NoDisponible,,,,,,,
151,Ursus americanus,175823,-99.2388889,25.705,,False,3,2.89,Mammalia,Carnivora,Ursidae,140,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a26cec4e30886984846bf762cda7dd50,a26cec4e30886984846bf762cda7dd50,Si,NoDisponible,No,No,Si,,,,
128,Ursus americanus,161177,-100.9883877,25.3291699,,False,4,41.36,Mammalia,Carnivora,Ursidae,2221,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a53b0206213a19017accecc4ea84ab4e,a53b0206213a19017accecc4ea84ab4e,No,NoDisponible,,,,,,,
99,Ursus americanus,161168,-100.8999447,25.2465077,,False,4,34.81,Mammalia,Carnivora,Ursidae,2417,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a63326fc944c46051e4652a1d1585daa,a63326fc944c46051e4652a1d1585daa,No,NoDisponible,,,,,,,
31,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a6737803b9018270769bdb7497b001b7,a6737803b9018270769bdb7497b001b7,No,NoDisponible,,,,,,,
32,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a6bfec16cf5936e662bd5cc8e5e9e3ad,a6bfec16cf5936e662bd5cc8e5e9e3ad,No,NoDisponible,,,,,,,
33,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9023eab4e1d9198ada659a31239ff69,a9023eab4e1d9198ada659a31239ff69,No,NoDisponible,,,,,,,
7,Ursus americanus,97065,-108.7441667,31.1411111,,False,4,27.9,Mammalia,Carnivora,Ursidae,1655,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=adbd1e105cd11fb84d303ecd181c91be,adbd1e105cd11fb84d303ecd181c91be,No,NoDisponible,,,,,,,
83,Ursus americanus,161179,-100.9552777,25.3372219,,False,4,35.46,Mammalia,Carnivora,Ursidae,2388,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=add3bc061e3932914d101bbcd22b5b64,add3bc061e3932914d101bbcd22b5b64,No,NoDisponible,,,,,,,
114,Ursus americanus,166100,-100.4727063,25.9247402,,False,4,30.19,Mammalia,Carnivora,Ursidae,926,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=af4c0c8082f8a13e70160e5c91d9ab41,af4c0c8082f8a13e70160e5c91d9ab41,No,NoDisponible,,,,,,,
50,Ursus americanus,175087,-98.925,19.325,,False,3,-5.7,Mammalia,Carnivora,Ursidae,2345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=afb1883111d93b91b57cb1fea3137e5e,afb1883111d93b91b57cb1fea3137e5e,Si,NoDisponible,No,No,No,,,,
34,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=afc6a319829836d3a7df833f10eaab32,afc6a319829836d3a7df833f10eaab32,No,NoDisponible,,,,,,,
75,Ursus americanus,161190,-100.8802449,25.280703,,False,4,34.84,Mammalia,Carnivora,Ursidae,2471,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0b3a674d4464af59270f29490e32dfd,b0b3a674d4464af59270f29490e32dfd,No,NoDisponible,,,,,,,
88,Ursus americanus,161179,-100.9246158,25.3271727,,False,4,35.46,Mammalia,Carnivora,Ursidae,2368,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b48a744f8e45d34b30130006c0daae2c,b48a744f8e45d34b30130006c0daae2c,No,NoDisponible,,,,,,,
35,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b4f8a00d213ca341de69481da1d16581,b4f8a00d213ca341de69481da1d16581,No,NoDisponible,,,,,,,
132,Ursus americanus,170837,-99.9937202,24.9604805,,False,4,40.82,Mammalia,Carnivora,Ursidae,2127,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b56dfd83329d5c31f215de3ecd7a143f,b56dfd83329d5c31f215de3ecd7a143f,No,NoDisponible,,,,,,,
0,Ursus americanus,175522,-99.1720833,23.0477944,,True,1,-98.93,Mammalia,Carnivora,Ursidae,682,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5befd758c3e9e7fbea65f1bd26c91ab,b5befd758c3e9e7fbea65f1bd26c91ab,Si,NoDisponible,No,No,Si,,,,
147,Ursus americanus,97066,-108.797206,31.206569,,False,4,34.38,Mammalia,Carnivora,Ursidae,2463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b6a6711e8f7b5cd337eb899422090290,b6a6711e8f7b5cd337eb899422090290,No,NoDisponible,,,,,,,
101,Ursus americanus,161168,-100.9189041,25.2676024,,False,4,34.81,Mammalia,Carnivora,Ursidae,2677,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b6f6016d3f50993a4560abb0d985114b,b6f6016d3f50993a4560abb0d985114b,No,NoDisponible,,,,,,,
36,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b7af97ade86806b1d07e92519598c031,b7af97ade86806b1d07e92519598c031,No,NoDisponible,,,,,,,
107,Ursus americanus,166070,-100.2702024,25.5499402,,False,4,40.18,Mammalia,Carnivora,Ursidae,708,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b8f1579ba862e75015692c55977dc2d8,b8f1579ba862e75015692c55977dc2d8,No,NoDisponible,,,,,,,
121,Ursus americanus,147229,-102.733148,29.0355116,,False,3,-16.48,Mammalia,Carnivora,Ursidae,1082,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b94cb276e247a1578297c70004b43690,b94cb276e247a1578297c70004b43690,No,NoDisponible,,,,,,,
158,Ursus americanus,175703,-99.3847222,24.9380556,,False,3,0.6,Mammalia,Carnivora,Ursidae,258,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bab0c1543955c6d2e615e4d2193ef771,bab0c1543955c6d2e615e4d2193ef771,No,NoDisponible,,,,,,,
37,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bc00819d09e86daa1ecf326442d4d93e,bc00819d09e86daa1ecf326442d4d93e,No,NoDisponible,,,,,,,
90,Ursus americanus,161179,-100.920088,25.3232644,,False,4,35.46,Mammalia,Carnivora,Ursidae,2329,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bc50e113f386427ca2d91e3e129de931,bc50e113f386427ca2d91e3e129de931,No,NoDisponible,,,,,,,
120,Ursus americanus,161192,-100.7908099,25.2742099,,False,4,25.21,Mammalia,Carnivora,Ursidae,2052,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bce6d58348eea9fdeb7635897d73fd03,bce6d58348eea9fdeb7635897d73fd03,No,NoDisponible,,,,,,,
112,Ursus americanus,166167,-100.4979544,26.4635849,,False,4,21.4,Mammalia,Carnivora,Ursidae,842,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bdf9681e1f877c0d5b2a9e251a67298e,bdf9681e1f877c0d5b2a9e251a67298e,No,NoDisponible,,,,,,,
163,Ursus americanus,170718,-99.8575,23.9566667,,False,4,38.24,Mammalia,Carnivora,Ursidae,2285,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bec491212112f704f3dc9cf525379164,bec491212112f704f3dc9cf525379164,No,NoDisponible,,,,,,,
157,Ursus americanus,161007,-100.6436111,23.6455556,,False,3,18.4,Mammalia,Carnivora,Ursidae,1591,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c5251af71d3467172337a09cc6c10566,c5251af71d3467172337a09cc6c10566,No,NoDisponible,,,,,,,
146,Ursus americanus,147067,-102.3972222,27.4138889,,False,3,9.83,Mammalia,Carnivora,Ursidae,1185,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c619917be1f52b8f61d02281aa8ad171,c619917be1f52b8f61d02281aa8ad171,No,NoDisponible,,,,,,,
64,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c76e45be14a31a2bc1fa334168490f30,c76e45be14a31a2bc1fa334168490f30,No,NoDisponible,,,,,,,
105,Ursus americanus,166070,-100.2708008,25.5493719,,False,4,40.18,Mammalia,Carnivora,Ursidae,712,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c7ac513964073e3e6ea6bc4eab8e4725,c7ac513964073e3e6ea6bc4eab8e4725,No,NoDisponible,,,,,,,
38,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c833fdea75f5a5915b9f679ca883914b,c833fdea75f5a5915b9f679ca883914b,No,NoDisponible,,,,,,,
104,Ursus americanus,166070,-100.2710577,25.5481519,,False,4,40.18,Mammalia,Carnivora,Ursidae,733,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=caabaf63f5a24dbf4a4fa2369b6cac5b,caabaf63f5a24dbf4a4fa2369b6cac5b,No,NoDisponible,,,,,,,
39,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cc467ed1468279165c1944fb3ba236fd,cc467ed1468279165c1944fb3ba236fd,No,NoDisponible,,,,,,,
155,Ursus americanus,122965,-105.7766667,22.8352778,,True,0,-122.11,Mammalia,Carnivora,Ursidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ccc1065f0e4aea423375c93c5747728f,ccc1065f0e4aea423375c93c5747728f,Si,NoDisponible,No,No,Si,,,,
154,Ursus americanus,105811,-107.9488889,30.3786111,,False,3,7.3,Mammalia,Carnivora,Ursidae,1471,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d14b6c989f20c10de7d89a714557ac01,d14b6c989f20c10de7d89a714557ac01,No,NoDisponible,,,,,,,
124,Ursus americanus,161180,-100.9363105,25.3682255,,False,4,47.12,Mammalia,Carnivora,Ursidae,1988,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d1ffe84d2fba87e6aae043f25f946480,d1ffe84d2fba87e6aae043f25f946480,No,NoDisponible,,,,,,,
65,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d302e2762b3d1ab1e9105a2f6d1f6e74,d302e2762b3d1ab1e9105a2f6d1f6e74,No,NoDisponible,,,,,,,
9,Ursus americanus,97036,-108.9627778,31.2116667,,False,3,14.85,Mammalia,Carnivora,Ursidae,1610,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d398bbe40b528ec7217f024caee9b62a,d398bbe40b528ec7217f024caee9b62a,No,NoDisponible,,,,,,,
40,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d456009bed1a9a8c2ff1be85a3dcf6bb,d456009bed1a9a8c2ff1be85a3dcf6bb,No,NoDisponible,,,,,,,
142,Ursus americanus,175500,-99.2291667,23.0452778,,True,2,-54.87,Mammalia,Carnivora,Ursidae,1326,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d4899d1b421cba2ebae05811c42ddb23,d4899d1b421cba2ebae05811c42ddb23,Si,NoDisponible,No,No,Si,,,,
41,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d5b828c1b2e47f11c0562d7f7a3875a5,d5b828c1b2e47f11c0562d7f7a3875a5,No,NoDisponible,,,,,,,
11,Ursus americanus,128203,-104.925,27.125,,False,3,0.52,Mammalia,Carnivora,Ursidae,1383,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d98cadaada85f37dace62bfdeede343e,d98cadaada85f37dace62bfdeede343e,Si,NoDisponible,No,No,Si,,,,
51,Ursus americanus,175087,-98.925,19.325,,False,3,-5.7,Mammalia,Carnivora,Ursidae,2345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dda046364f4a67d624a1f624be3edae1,dda046364f4a67d624a1f624be3edae1,Si,NoDisponible,No,No,No,,,,
42,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e0687782149458f3754fa531990e5cb4,e0687782149458f3754fa531990e5cb4,No,NoDisponible,,,,,,,
43,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e1b83fd48aaf449d382b8b1343526ed3,e1b83fd48aaf449d382b8b1343526ed3,No,NoDisponible,,,,,,,
167,Ursus americanus,152047,-101.8252778,28.7936111,,False,3,10.61,Mammalia,Carnivora,Ursidae,953,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e4d623b28ef44de69151881b57b47db3,e4d623b28ef44de69151881b57b47db3,No,NoDisponible,,,,,,,
119,Ursus americanus,156724,-101.3520819,27.954225,,False,3,8.01,Mammalia,Carnivora,Ursidae,401,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e77468338e575f9a319a0c3997708fc4,e77468338e575f9a319a0c3997708fc4,No,NoDisponible,,,,,,,
54,Ursus americanus,114677,-106.644236,29.5666538,,False,3,20.22,Mammalia,Carnivora,Ursidae,1759,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e778ba0cf7cee248b7f574ea54757533,e778ba0cf7cee248b7f574ea54757533,Si,NoDisponible,No,No,Si,,,,
109,Ursus americanus,170818,-99.9734097,24.5810308,,False,4,25.83,Mammalia,Carnivora,Ursidae,2235,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e8115d334244d03e0e7d3d9755e9dade,e8115d334244d03e0e7d3d9755e9dade,No,NoDisponible,,,,,,,
144,Ursus americanus,175503,-99.2033333,23.075,,True,2,-50.5,Mammalia,Carnivora,Ursidae,1161,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e8e98d7aca209806849506272fd33407,e8e98d7aca209806849506272fd33407,Si,NoDisponible,No,No,Si,,,,
92,Ursus americanus,161179,-100.9234999,25.3254658,,False,4,35.46,Mammalia,Carnivora,Ursidae,2357,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e9b94e21e7476244ae0fb0d4b7c948ef,e9b94e21e7476244ae0fb0d4b7c948ef,No,NoDisponible,,,,,,,
117,Ursus americanus,156678,-101.7381188,27.8649988,,False,4,21.04,Mammalia,Carnivora,Ursidae,854,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eb71c50f69904209e75e68295edf56ef,eb71c50f69904209e75e68295edf56ef,No,NoDisponible,,,,,,,
6,Ursus americanus,101397,-108.6189528,30.5464056,,False,4,29.4,Mammalia,Carnivora,Ursidae,2640,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ebb2bc0cbb3dd4040792c83acd371bdf,ebb2bc0cbb3dd4040792c83acd371bdf,No,NoDisponible,,,,,,,
44,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed310b995f57819d8c14d209777ed19c,ed310b995f57819d8c14d209777ed19c,No,NoDisponible,,,,,,,
45,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ee1ea8acd9b37ba9ed933fd9b0c2d8f7,ee1ea8acd9b37ba9ed933fd9b0c2d8f7,No,NoDisponible,,,,,,,
69,Ursus americanus,128183,-104.8,27,,False,3,1.27,Mammalia,Carnivora,Ursidae,1383,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ee7002c4013fdda21f537dcfc4298bef,ee7002c4013fdda21f537dcfc4298bef,Si,NoDisponible,No,No,Si,,,,
123,Ursus americanus,161180,-100.9600638,25.36109,,False,4,47.12,Mammalia,Carnivora,Ursidae,2106,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f0e02b6b399b87935a268a1ce7c15d63,f0e02b6b399b87935a268a1ce7c15d63,No,NoDisponible,,,,,,,
102,Ursus americanus,161168,-100.9087369,25.2912669,,False,4,34.81,Mammalia,Carnivora,Ursidae,2675,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f120dd6772b4ff11d0c207249a4fabed,f120dd6772b4ff11d0c207249a4fabed,No,NoDisponible,,,,,,,
70,Ursus americanus,161189,-100.852,25.1814,,False,4,35.24,Mammalia,Carnivora,Ursidae,2236,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f162478f20b1139f5659621975e44364,f162478f20b1139f5659621975e44364,No,NoDisponible,,,,,,,
46,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f3dc0caf6288fbbcbf53eaccf4b53c44,f3dc0caf6288fbbcbf53eaccf4b53c44,No,NoDisponible,,,,,,,
74,Ursus americanus,161190,-100.8459855,25.2464369,,False,4,34.84,Mammalia,Carnivora,Ursidae,2230,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f3e07edd82bc1548ef6ca290c4021feb,f3e07edd82bc1548ef6ca290c4021feb,No,NoDisponible,,,,,,,
52,Ursus americanus,175087,-98.925,19.325,,False,3,-5.7,Mammalia,Carnivora,Ursidae,2345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f4c663f090a5725bbb3d72cfa73aacfb,f4c663f090a5725bbb3d72cfa73aacfb,Si,NoDisponible,No,No,No,,,,
66,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f5a55bdb90557d089667d43ee84babc3,f5a55bdb90557d089667d43ee84babc3,No,NoDisponible,,,,,,,
68,Ursus americanus,156699,-101.51444,27.8775,,False,3,7.62,Mammalia,Carnivora,Ursidae,489,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f77d571c2e99653dc2d1ad8401fb46fa,f77d571c2e99653dc2d1ad8401fb46fa,No,NoDisponible,,,,,,,
67,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f8216e8e581ca283696c2152fe4f64fc,f8216e8e581ca283696c2152fe4f64fc,No,NoDisponible,,,,,,,
140,Ursus americanus,161181,-101,25.4333,,False,3,17.08,Mammalia,Carnivora,Ursidae,1573,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f9d59f1f0a6a8a623f35ac13f5c76e15,f9d59f1f0a6a8a623f35ac13f5c76e15,No,NoDisponible,,,,,,,
47,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fe3eac42aad3f713fdda7f9e04b5b5bd,fe3eac42aad3f713fdda7f9e04b5b5bd,No,NoDisponible,,,,,,,
48,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ff0688787827b6112526656535746d30,ff0688787827b6112526656535746d30,No,NoDisponible,,,,,,,
