,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
116,Ursus americanus,151834,-102.167513,27.4609927,,False,3,9.83,Mammalia,Carnivora,Ursidae,1201,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ea34429685f2f45d4497cb6804b27e3,3ea34429685f2f45d4497cb6804b27e3,No,NoDisponible,,,,,,,
110,Ursus americanus,171017,-99.8839186,26.0780174,,False,3,17.93,Mammalia,Carnivora,Ursidae,890,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40277e4fe6a29a0ab78f8d7d14b5c975,40277e4fe6a29a0ab78f8d7d14b5c975,No,NoDisponible,,,,,,,
77,Ursus americanus,166091,-100.3451566,25.5997269,,False,4,33.9,Mammalia,Carnivora,Ursidae,1351,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=434a04fe5af6ab71096f1866319697f7,434a04fe5af6ab71096f1866319697f7,No,NoDisponible,,,,,,,
21,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=443c16e9d6a05382522a1163ef1b60ca,443c16e9d6a05382522a1163ef1b60ca,No,NoDisponible,,,,,,,
78,Ursus americanus,166091,-100.3625749,25.6144213,,False,4,33.9,Mammalia,Carnivora,Ursidae,1077,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4ad2e2e7359c9b6f675d00ff22512712,4ad2e2e7359c9b6f675d00ff22512712,No,NoDisponible,,,,,,,
87,Ursus americanus,161179,-100.9246158,25.3271727,,False,4,35.46,Mammalia,Carnivora,Ursidae,2368,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b1b48b0eb6bb1a3606231f7986cb82c,4b1b48b0eb6bb1a3606231f7986cb82c,No,NoDisponible,,,,,,,
84,Ursus americanus,161179,-100.9699149,25.3110966,,False,4,35.46,Mammalia,Carnivora,Ursidae,2598,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b50c2409328ae854e24fc5ca9504f22,4b50c2409328ae854e24fc5ca9504f22,No,NoDisponible,,,,,,,
129,Ursus americanus,101404,-108.3735544,30.4603183,,False,4,31.16,Mammalia,Carnivora,Ursidae,2465,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4bbf6fd8126b4979304050ac612062b0,4bbf6fd8126b4979304050ac612062b0,No,NoDisponible,,,,,,,
94,Ursus americanus,166113,-100.2587308,25.5633008,,False,4,31.43,Mammalia,Carnivora,Ursidae,646,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4be1e5ced9917912d510bbbeec91790b,4be1e5ced9917912d510bbbeec91790b,No,NoDisponible,,,,,,,
143,Ursus americanus,175503,-99.2033333,23.075,,True,2,-50.5,Mammalia,Carnivora,Ursidae,1161,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c23d4741887b8ab99fe3ccef8075e75,4c23d4741887b8ab99fe3ccef8075e75,Si,NoDisponible,No,No,Si,,,,
