,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
142,Eptesicus furinalis,213661,-94.6819444,17.9633333,,False,3,22.56,Mammalia,Chiroptera,Vespertilionidae,41,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7976e728bc254153bb5c218d1d03b033,7976e728bc254153bb5c218d1d03b033,No,NoDisponible,,,,,
105,Eptesicus furinalis,265444,-87.5805555,19.8180555,,False,3,16.86,Mammalia,Chiroptera,Vespertilionidae,24,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7af9f750c591400d937fb9844cc107f9,7af9f750c591400d937fb9844cc107f9,No,NoDisponible,,,,,
109,Eptesicus furinalis,204431,-95.7903222,18.7957136,,False,3,14.33,Mammalia,Chiroptera,Vespertilionidae,26,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7c08fc2b0e1c0cbce56da28fdb7ad597,7c08fc2b0e1c0cbce56da28fdb7ad597,Si,NoDisponible,No,Si,Si,,
121,Eptesicus furinalis,199785,-96.1378,19.1992,,False,3,13.37,Mammalia,Chiroptera,Vespertilionidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7cdb804c2037718abe242d45cd474a99,7cdb804c2037718abe242d45cd474a99,No,NoDisponible,,,,,
25,Eptesicus furinalis,230976,-92.0255556,17.4913889,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7e3b83af1ebcab49819576a7a2183425,7e3b83af1ebcab49819576a7a2183425,No,NoDisponible,,,,,
130,Eptesicus furinalis,235322,-91.519363,18.445601,,False,3,17.37,Mammalia,Chiroptera,Vespertilionidae,8,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ec5da54ad8281bb915367324a1d8e7b,7ec5da54ad8281bb915367324a1d8e7b,No,NoDisponible,,,,,
117,Eptesicus furinalis,190117,-97.401,20.943,,False,3,11.74,Mammalia,Chiroptera,Vespertilionidae,8,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f8ee6988d312475e3c36943c9d7f7c6,7f8ee6988d312475e3c36943c9d7f7c6,No,NoDisponible,,,,,
92,Eptesicus furinalis,252549,-89.6519444,20.9483333,,False,3,14.73,Mammalia,Chiroptera,Vespertilionidae,15,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8156dc3532dea4c527c217685496dc16,8156dc3532dea4c527c217685496dc16,No,NoDisponible,,,,,
85,Eptesicus furinalis,248304,-89.6913889,21.0672222,,False,3,11.88,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=81e9174f0f7d7eaeba3497d28c53926e,81e9174f0f7d7eaeba3497d28c53926e,No,NoDisponible,,,,,
33,Eptesicus furinalis,230976,-92.0319444,17.4936111,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,53,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=824d372ddc61bf9e759d59df62239107,824d372ddc61bf9e759d59df62239107,No,NoDisponible,,,,,
