,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
16,Galictis vittata,230967,-92.1781758,17.4262902,,True,0,-30.42,Mammalia,Carnivora,Mustelidae,185,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f788eb4940279546b37536c164e277d,2f788eb4940279546b37536c164e277d,No,NoDisponible,,,,,
8,Galictis vittata,175337,-99.0069444,21.3861111,,False,3,23.41,Mammalia,Carnivora,Mustelidae,860,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=315f332ccbfd47d65a74c119b0815260,315f332ccbfd47d65a74c119b0815260,No,NoDisponible,,,,,
39,Galictis vittata,226641,-93.1,16.7269444,,False,2,7.32,Mammalia,Carnivora,Mustelidae,630,Terrestre,1984,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41710ebaf7ac6fe6a63d098646ed0a72,41710ebaf7ac6fe6a63d098646ed0a72,Si,NoDisponible,No,Si,Si,,
27,Galictis vittata,194822,-97.1036111,18.8494444,,True,1,-0.46,Mammalia,Carnivora,Mustelidae,1260,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=465f6b9f5593695275adcbe1e285e3fa,465f6b9f5593695275adcbe1e285e3fa,No,NoDisponible,,,,,
40,Galictis vittata,226641,-93.1,16.7269444,,False,2,7.32,Mammalia,Carnivora,Mustelidae,630,Terrestre,1984,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48720960adb7d89ca26ed33156c416cd,48720960adb7d89ca26ed33156c416cd,Si,NoDisponible,No,Si,Si,,
23,Galictis vittata,239193,-91.2286111,16.2122222,,False,4,30.97,Mammalia,Carnivora,Mustelidae,188,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48f76b3c9577042eb3e8d0e98efa1aaa,48f76b3c9577042eb3e8d0e98efa1aaa,No,NoDisponible,,,,,
6,Galictis vittata,226781,-92.9279518,17.991,,False,3,21.82,Mammalia,Carnivora,Mustelidae,12,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4987064f9c5f6a5ee7974c38047334bc,4987064f9c5f6a5ee7974c38047334bc,No,NoDisponible,,,,,
26,Galictis vittata,218156,-93.75,17.0833333,,False,4,33.2,Mammalia,Carnivora,Mustelidae,381,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4db577b4c984c2d8536ce2f428fb5baa,4db577b4c984c2d8536ce2f428fb5baa,No,NoDisponible,,,,,
2,Galictis vittata,194854,-96.841,18.877,,False,3,22.57,Mammalia,Carnivora,Mustelidae,603,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51a412ab47b67f9cdf6a5802bb146030,51a412ab47b67f9cdf6a5802bb146030,No,NoDisponible,,,,,
19,Galictis vittata,194889,-96.9863889,19.1897222,,False,2,14.3,Mammalia,Carnivora,Mustelidae,1357,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5879e5e91e431e4fe2364e72753cd537,5879e5e91e431e4fe2364e72753cd537,No,NoDisponible,,,,,
31,Galictis vittata,269554,-87.0766667,20.6238889,,False,3,21.04,Mammalia,Carnivora,Mustelidae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a9d6d084bda8a537a3926ea1c04538f,5a9d6d084bda8a537a3926ea1c04538f,Si,NoDisponible,No,Si,Si,,
