,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,DistHistorica
440,Nasua narica,265635,-87.5772399,21.3376797,,False,5,12.79,Mammalia,Carnivora,Procyonidae,17,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35c9144d6f04c91c7b858927a71fcfbe,35c9144d6f04c91c7b858927a71fcfbe,No,NoDIsponible,,,,,,
767,Nasua narica,269506,-87.35579,20.3369588,,False,5,15.73,Mammalia,Carnivora,Procyonidae,18,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=364ff5ba826c9677874c735fba851db9,364ff5ba826c9677874c735fba851db9,Si,NoDIsponible,No,Si,Si,,,
142,Nasua narica,194723,-96.74444,17.55897,,False,5,10.95,Mammalia,Carnivora,Procyonidae,2413,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=366454a254ec13983c9fb98845b9412b,366454a254ec13983c9fb98845b9412b,No,NoDIsponible,,,,,,
998,Nasua narica,209054,-95.2529025,18.5883516,,False,5,17.58,Mammalia,Carnivora,Procyonidae,682,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3674fd13af3559583a9ec047d8360988,3674fd13af3559583a9ec047d8360988,No,NoDIsponible,,,,,,
1211,Nasua narica,194908,-96.9022222,19.5736111,,False,5,10.3,Mammalia,Carnivora,Procyonidae,1342,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36ab1170f6ad18fb738717ce01000948,36ab1170f6ad18fb738717ce01000948,No,NoDIsponible,,,,,,
500,Nasua narica,184543,-98.025,16.325,,False,5,13.16,Mammalia,Carnivora,Procyonidae,152,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36af5416282833dbdc5fdffe46296006,36af5416282833dbdc5fdffe46296006,No,NoDIsponible,,,,,,
221,Nasua narica,194715,-96.93933,17.86742,,False,5,15,Mammalia,Carnivora,Procyonidae,1114,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=370437003ca0f4a61e92c3b3ca073ae6,370437003ca0f4a61e92c3b3ca073ae6,No,NoDIsponible,,,,,,
1230,Nasua narica,204194,-95.6944444,16.5672222,,False,5,8.06,Mammalia,Carnivora,Procyonidae,1492,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3744a7e1abfd49c833ec77ddb52a4094,3744a7e1abfd49c833ec77ddb52a4094,No,NoDIsponible,,,,,,
521,Nasua narica,265472,-87.4300327,20.2158408,,False,5,15.33,Mammalia,Carnivora,Procyonidae,9,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=374956cceb99bdc1b047ca12fd1cfc68,374956cceb99bdc1b047ca12fd1cfc68,Si,NoDIsponible,No,Si,Si,,,
112,Nasua narica,194723,-96.74073,17.5884,,False,5,10.95,Mammalia,Carnivora,Procyonidae,2455,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=374a727faa9da9a08aa11444dd4fc114,374a727faa9da9a08aa11444dd4fc114,No,NoDIsponible,,,,,,
539,Nasua narica,166070,-100.2781369,25.5307252,,False,4,-4.17,Mammalia,Carnivora,Procyonidae,916,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3787c4a8906a767140a4d58388ffb6c9,3787c4a8906a767140a4d58388ffb6c9,No,NoDIsponible,,,,,,
85,Nasua narica,199553,-96.5583333,17.575,,False,5,19.34,Mammalia,Carnivora,Procyonidae,1802,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37bc7243dd8c7591095dc1d0a67f1a66,37bc7243dd8c7591095dc1d0a67f1a66,No,NoDIsponible,,,,,,
1274,Nasua narica,166108,-100.3702778,25.9205556,,False,4,-4.9,Mammalia,Carnivora,Procyonidae,493,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37d7b02814e9972a567068e5f41f67a2,37d7b02814e9972a567068e5f41f67a2,No,NoDIsponible,,,,,,
946,Nasua narica,180516,-98.4610177,23.5919919,,False,5,6.03,Mammalia,Carnivora,Procyonidae,505,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37fb2b759f37b64a5ae8c3a34d679b38,37fb2b759f37b64a5ae8c3a34d679b38,No,NoDIsponible,,,,,,
315,Nasua narica,226781,-92.9368577,17.9990577,,False,5,14.52,Mammalia,Carnivora,Procyonidae,15,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=386267c4a847ee193b78a3258638f672,386267c4a847ee193b78a3258638f672,No,NoDIsponible,,,,,,
854,Nasua narica,118454,-106.0479352,23.4112716,,False,5,12.87,Mammalia,Carnivora,Procyonidae,352,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3894a5f6f75cfe0323a7fba8683f1bf0,3894a5f6f75cfe0323a7fba8683f1bf0,No,NoDIsponible,,,,,,
1213,Nasua narica,209021,-95.0008333,17.9730556,,False,5,12.41,Mammalia,Carnivora,Procyonidae,39,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=389e5addee3a373aa0a9ef278a9c5644,389e5addee3a373aa0a9ef278a9c5644,No,NoDIsponible,,,,,,
710,Nasua narica,118455,-105.9636991,23.3379088,,False,5,12.83,Mammalia,Carnivora,Procyonidae,268,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38b0173f5d06b9c490392b7820585741,38b0173f5d06b9c490392b7820585741,No,NoDIsponible,,,,,,
994,Nasua narica,248283,-90.0141005,21.1272105,,False,5,7.7,Mammalia,Carnivora,Procyonidae,7,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38e660e6e65b283c0b15e3f0260b3a25,38e660e6e65b283c0b15e3f0260b3a25,No,NoDIsponible,,,,,,
1095,Nasua narica,194854,-96.8638889,18.8786111,,False,5,16.17,Mammalia,Carnivora,Procyonidae,662,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38eb5c009ecbd3b168e894fa839500c5,38eb5c009ecbd3b168e894fa839500c5,No,NoDIsponible,,,,,,
806,Nasua narica,122971,-105.5341527,22.6718377,,False,5,11.67,Mammalia,Carnivora,Procyonidae,358,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3933ec6601ac476d5d1ab4431fea19f9,3933ec6601ac476d5d1ab4431fea19f9,No,NoDIsponible,,,,,,
902,Nasua narica,269505,-87.3830294,20.2788966,,False,5,15.73,Mammalia,Carnivora,Procyonidae,6,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=394ac7ef4e5759fe97195b1dd29716f8,394ac7ef4e5759fe97195b1dd29716f8,No,NoDIsponible,,,,,,
16,Nasua narica,261063,-88.464326,19.352797,,False,5,16.6,Mammalia,Carnivora,Procyonidae,19,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39764a892f4dd7714820393f7e3f8829,39764a892f4dd7714820393f7e3f8829,No,NoDIsponible,,,,,,
410,Nasua narica,132427,-104.3617325,23.4647294,,False,4,-7.82,Mammalia,Carnivora,Procyonidae,1706,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39929751a9904bc01823580e18f45851,39929751a9904bc01823580e18f45851,Si,NoDIsponible,No,No,Si,,,
1306,Nasua narica,226472,-92.7241667,15.0375,,False,5,11.82,Mammalia,Carnivora,Procyonidae,35,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39a810140acacb499b89298e6cc8ee9d,39a810140acacb499b89298e6cc8ee9d,Si,NoDIsponible,No,Si,Si,,,
359,Nasua narica,269539,-86.988576,20.273361,,False,5,17.64,Mammalia,Carnivora,Procyonidae,5,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a0885ba6ba168c097a424bd37bf0dcb,3a0885ba6ba168c097a424bd37bf0dcb,Si,NoDIsponible,No,No,Si,,,
132,Nasua narica,194723,-96.76438,17.55418,,False,5,10.95,Mammalia,Carnivora,Procyonidae,2321,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a2e753ede9b3f2181e8d6dd1480abd4,3a2e753ede9b3f2181e8d6dd1480abd4,No,NoDIsponible,,,,,,
636,Nasua narica,166091,-100.3594508,25.6176769,,False,4,-3.31,Mammalia,Carnivora,Procyonidae,909,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ac313061d1c8e6056db477115d429b3,3ac313061d1c8e6056db477115d429b3,No,NoDIsponible,,,,,,
350,Nasua narica,96501,-108.9325891,27.02333,,False,4,-0.11,Mammalia,Carnivora,Procyonidae,372,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ae08da91e6d62cf8ce8fae9de77f5b3,3ae08da91e6d62cf8ce8fae9de77f5b3,No,NoDIsponible,,,,,,
839,Nasua narica,199357,-96.134143,15.7691972,,False,5,12.98,Mammalia,Carnivora,Procyonidae,29,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b04bd74ffe4d656558b08147bb7a1a7,3b04bd74ffe4d656558b08147bb7a1a7,No,NoDIsponible,,,,,,
1116,Nasua narica,131893,-104.3156,19.0517,,False,5,12.87,Mammalia,Carnivora,Procyonidae,28,Terrestre,1892,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b455550b96cbb9459c924617fffd544,3b455550b96cbb9459c924617fffd544,Si,NoDIsponible,No,Si,Si,,,
1231,Nasua narica,122965,-105.7766667,22.8352778,,False,5,11.7,Mammalia,Carnivora,Procyonidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b6f3b51195125d354199000306ec67a,3b6f3b51195125d354199000306ec67a,No,NoDIsponible,,,,,,
746,Nasua narica,113936,-106.6753469,23.6655252,,False,5,6.37,Mammalia,Carnivora,Procyonidae,228,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b9bf4f8d8c48fef5c46644da61cac78,3b9bf4f8d8c48fef5c46644da61cac78,No,NoDIsponible,,,,,,
1071,Nasua narica,166067,-100.1866667,25.3458333,,False,4,-1.17,Mammalia,Carnivora,Procyonidae,1264,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3bd4922e718e5286d1b8b51f8823a95a,3bd4922e718e5286d1b8b51f8823a95a,No,NoDIsponible,,,,,,
1164,Nasua narica,261300,-88.1677778,21.1908333,,False,5,15.14,Mammalia,Carnivora,Procyonidae,17,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ca80fb46384c8ff29f11b234d57f434,3ca80fb46384c8ff29f11b234d57f434,No,NoDIsponible,,,,,,
1178,Nasua narica,256907,-88.87639,20.82,,False,5,10.63,Mammalia,Carnivora,Procyonidae,34,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cad7edf3bea972f9d98c934f2d38ab5,3cad7edf3bea972f9d98c934f2d38ab5,No,NoDIsponible,,,,,,
396,Nasua narica,122992,-105.2180022,22.6299172,,False,5,11.77,Mammalia,Carnivora,Procyonidae,682,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ce06e608ac0f8430138670fb43ddce5,3ce06e608ac0f8430138670fb43ddce5,No,NoDIsponible,,,,,,
930,Nasua narica,247977,-89.8084258,18.11094,,False,5,12.49,Mammalia,Carnivora,Procyonidae,256,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d3e682bd5d3b88359024306d3d158ca,3d3e682bd5d3b88359024306d3d158ca,No,NoDIsponible,,,,,,
1345,Nasua narica,230725,-92.5222222,15.5055556,,False,5,10.91,Mammalia,Carnivora,Procyonidae,1652,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d51830e8952308f5e1f48b39bcf6de4,3d51830e8952308f5e1f48b39bcf6de4,No,NoDIsponible,,,,,,
1169,Nasua narica,175337,-99.0069444,21.3861111,,False,5,18.04,Mammalia,Carnivora,Procyonidae,860,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e63fdf9b3ac6eef9830156538719537,3e63fdf9b3ac6eef9830156538719537,No,NoDIsponible,,,,,,
794,Nasua narica,113914,-106.4368969,23.3037469,,False,5,7.44,Mammalia,Carnivora,Procyonidae,18,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f35dd64eab6232a3ebf6025c49bb03e,3f35dd64eab6232a3ebf6025c49bb03e,No,NoDIsponible,,,,,,
797,Nasua narica,113914,-106.4429999,23.2989999,,False,5,7.44,Mammalia,Carnivora,Procyonidae,29,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f3e77a441a700877544a171d4abbd8a,3f3e77a441a700877544a171d4abbd8a,No,NoDIsponible,,,,,,
25,Nasua narica,261161,-88.098188,19.762232,,False,5,14.44,Mammalia,Carnivora,Procyonidae,29,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f430a64beaa6785cc55e98eecbcd5ff,3f430a64beaa6785cc55e98eecbcd5ff,No,NoDIsponible,,,,,,
615,Nasua narica,122959,-105.5684849,22.5903183,,False,5,12.66,Mammalia,Carnivora,Procyonidae,306,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f56f9e9c604f7718fdaa21991301a37,3f56f9e9c604f7718fdaa21991301a37,No,NoDIsponible,,,,,,
479,Nasua narica,269590,-87.3666666,21.3333333,,False,5,14.54,Mammalia,Carnivora,Procyonidae,18,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f5a8b48005bd8d134e9bc127707af7d,3f5a8b48005bd8d134e9bc127707af7d,No,NoDIsponible,,,,,,
331,Nasua narica,226781,-92.9392658,17.9972927,,False,5,14.52,Mammalia,Carnivora,Procyonidae,14,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fa3ae5804ddf134cbc6f12a4f0e1551,3fa3ae5804ddf134cbc6f12a4f0e1551,No,NoDIsponible,,,,,,
1123,Nasua narica,131893,-104.3155556,19.0516667,,False,5,12.87,Mammalia,Carnivora,Procyonidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3faba20b541836c25850507abad384c3,3faba20b541836c25850507abad384c3,Si,NoDIsponible,No,Si,Si,,,
1307,Nasua narica,239192,-91.3402778,16.4055556,,False,5,18.89,Mammalia,Carnivora,Procyonidae,217,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fc0b114ab32946ad5b3f2dd5132125b,3fc0b114ab32946ad5b3f2dd5132125b,No,NoDIsponible,,,,,,
466,Nasua narica,269597,-87.2109997,21.2101597,,False,5,14.25,Mammalia,Carnivora,Procyonidae,21,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fc5878c30d2e4d0ab0233a958c1af96,3fc5878c30d2e4d0ab0233a958c1af96,No,NoDIsponible,,,,,,
964,Nasua narica,122970,-105.6315705,22.7795049,,False,5,14.2,Mammalia,Carnivora,Procyonidae,356,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3feb410a7e2034a3c8e69163c186bc69,3feb410a7e2034a3c8e69163c186bc69,No,NoDIsponible,,,,,,
582,Nasua narica,118453,-106.0507786,23.3353894,,False,5,11.16,Mammalia,Carnivora,Procyonidae,204,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=401870667459acbb40adb866d37f8313,401870667459acbb40adb866d37f8313,No,NoDIsponible,,,,,,
404,Nasua narica,122992,-105.2148667,22.6285,,False,5,11.77,Mammalia,Carnivora,Procyonidae,639,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4019a9688c9080bf4593b6e486ef2c9f,4019a9688c9080bf4593b6e486ef2c9f,No,NoDIsponible,,,,,,
1227,Nasua narica,204157,-95.5330556,16.3333333,,False,5,9.45,Mammalia,Carnivora,Procyonidae,1049,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4029bf9e4d1153a83a901709beef29d8,4029bf9e4d1153a83a901709beef29d8,No,NoDIsponible,,,,,,
937,Nasua narica,269560,-86.96228,20.7715227,,False,5,17.02,Mammalia,Carnivora,Procyonidae,15,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4072863601c67e0b47d12697e27608d6,4072863601c67e0b47d12697e27608d6,No,NoDIsponible,,,,,,
495,Nasua narica,269599,-87.16079,21.2666666,,False,5,14.25,Mammalia,Carnivora,Procyonidae,11,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=409e14022386cd8ad16842a028584ba7,409e14022386cd8ad16842a028584ba7,No,NoDIsponible,,,,,,
681,Nasua narica,269610,-86.8971569,20.9324555,,False,5,20.79,Mammalia,Carnivora,Procyonidae,14,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40b61243a99ce5145191aefd92f17523,40b61243a99ce5145191aefd92f17523,No,NoDIsponible,,,,,,
254,Nasua narica,175028,-99.1014452,19.0007075,,False,4,3.59,Mammalia,Carnivora,Procyonidae,1987,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40d8880ee8fc34f0eb782d094afcee56,40d8880ee8fc34f0eb782d094afcee56,No,NoDIsponible,,,,,,
1223,Nasua narica,118508,-105.8361111,23.5625,,False,4,-0.34,Mammalia,Carnivora,Procyonidae,1924,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40e521ee82b25498a361f35aed54c242,40e521ee82b25498a361f35aed54c242,No,NoDIsponible,,,,,,
492,Nasua narica,269599,-87.16079,21.2666666,,False,5,14.25,Mammalia,Carnivora,Procyonidae,11,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40f44c7631642379f937f6637c35b343,40f44c7631642379f937f6637c35b343,No,NoDIsponible,,,,,,
111,Nasua narica,194723,-96.76952,17.56375,,False,5,10.95,Mammalia,Carnivora,Procyonidae,2396,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40f756a3bc92fcf4a0daad7631ea4076,40f756a3bc92fcf4a0daad7631ea4076,No,NoDIsponible,,,,,,
291,Nasua narica,230976,-92.046227,17.4846496,,False,5,16.64,Mammalia,Carnivora,Procyonidae,137,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4143036d3fcbea846aeb7b4bad4801c1,4143036d3fcbea846aeb7b4bad4801c1,No,NoDIsponible,,,,,,
328,Nasua narica,226781,-92.9367869,17.9988097,,False,5,14.52,Mammalia,Carnivora,Procyonidae,12,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41670df027ed29fa0bf61dfba492d7bb,41670df027ed29fa0bf61dfba492d7bb,No,NoDIsponible,,,,,,
716,Nasua narica,118455,-105.9548519,23.3358722,,False,5,12.83,Mammalia,Carnivora,Procyonidae,254,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=418c23c76350ae5fd49ab563f6e344d8,418c23c76350ae5fd49ab563f6e344d8,No,NoDIsponible,,,,,,
574,Nasua narica,118453,-106.0675047,23.3876399,,False,5,11.16,Mammalia,Carnivora,Procyonidae,260,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=421061a3e06ed708cf71f286b4f7f8d8,421061a3e06ed708cf71f286b4f7f8d8,No,NoDIsponible,,,,,,
446,Nasua narica,265635,-87.5870799,21.3486099,,False,5,12.79,Mammalia,Carnivora,Procyonidae,10,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=422c32af910890cff321d338d29d2547,422c32af910890cff321d338d29d2547,No,NoDIsponible,,,,,,
1199,Nasua narica,256946,-88.7919444,21.2019444,,False,5,14.05,Mammalia,Carnivora,Procyonidae,20,Terrestre,1881,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4231a4e0d4dcad4b38e7cfeeace3a41b,4231a4e0d4dcad4b38e7cfeeace3a41b,No,NoDIsponible,,,,,,
389,Nasua narica,132454,-104.28992,23.68003,,False,4,-10.44,Mammalia,Carnivora,Procyonidae,1626,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42484c6610fd083d695cb87e528652c2,42484c6610fd083d695cb87e528652c2,Si,NoDIsponible,No,No,Si,,,
196,Nasua narica,170442,-99.85845,21.41964,,False,4,-7.42,Mammalia,Carnivora,Procyonidae,2102,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42516a48e4b29ca0d04d1b5638a2281a,42516a48e4b29ca0d04d1b5638a2281a,Si,NoDIsponible,No,No,Si,,,
321,Nasua narica,226781,-92.9384777,17.9979988,,False,5,14.52,Mammalia,Carnivora,Procyonidae,23,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=426f782446581b275827a67d145749bc,426f782446581b275827a67d145749bc,No,NoDIsponible,,,,,,
586,Nasua narica,118453,-106.0594366,23.3818102,,False,5,11.16,Mammalia,Carnivora,Procyonidae,219,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42c4f9cebcbff7dd2e5241b6ec325881,42c4f9cebcbff7dd2e5241b6ec325881,No,NoDIsponible,,,,,,
538,Nasua narica,166070,-100.2703077,25.5498483,,False,4,-4.17,Mammalia,Carnivora,Procyonidae,707,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42caf2cbc0f0a8e675262286734d2fee,42caf2cbc0f0a8e675262286734d2fee,No,NoDIsponible,,,,,,
1235,Nasua narica,269550,-86.9466667,20.5083333,,False,5,18.76,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43706f4703429050cebaa74b3f964f39,43706f4703429050cebaa74b3f964f39,Si,NoDIsponible,No,No,Si,,,
962,Nasua narica,218251,-94.0391677,18.1030458,,False,5,12.63,Mammalia,Carnivora,Procyonidae,39,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4403363f9ac5cad0979bece37f5707d0,4403363f9ac5cad0979bece37f5707d0,No,NoDIsponible,,,,,,
298,Nasua narica,155916,-101.48,21.43,,False,4,-11.64,Mammalia,Carnivora,Procyonidae,2323,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4408180a9b308e6a230091298a54a2c1,4408180a9b308e6a230091298a54a2c1,Si,NoDIsponible,No,No,No,,,
1286,Nasua narica,265465,-87.47778,20.03194,,False,5,15.66,Mammalia,Carnivora,Procyonidae,9,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44243b2fe00ef754d4fe43f8ab948c17,44243b2fe00ef754d4fe43f8ab948c17,Si,NoDIsponible,No,Si,Si,,,
1193,Nasua narica,180339,-98.5058333,22.17,,False,5,7.35,Mammalia,Carnivora,Procyonidae,32,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4468d6147295d2dcb40cb7d18d529912,4468d6147295d2dcb40cb7d18d529912,No,NoDIsponible,,,,,,
791,Nasua narica,113914,-106.4414477,23.3031027,,False,5,7.44,Mammalia,Carnivora,Procyonidae,39,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4496513cb020f2d5905eb1bcc5faaf5a,4496513cb020f2d5905eb1bcc5faaf5a,No,NoDIsponible,,,,,,
885,Nasua narica,248301,-89.831028,21.000225,,False,5,10.84,Mammalia,Carnivora,Procyonidae,9,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44fff262c65495adedd9b85c5d6905d9,44fff262c65495adedd9b85c5d6905d9,No,NoDIsponible,,,,,,
544,Nasua narica,166070,-100.2725108,25.5427627,,False,4,-4.17,Mammalia,Carnivora,Procyonidae,764,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=451b57e1482fb81143974a40eaa98654,451b57e1482fb81143974a40eaa98654,No,NoDIsponible,,,,,,
1028,Nasua narica,189805,-97.2959855,18.2260033,,False,4,-15.97,Mammalia,Carnivora,Procyonidae,1170,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=454ed8627d7c5ef2a4665e9e521c7577,454ed8627d7c5ef2a4665e9e521c7577,No,NoDIsponible,,,,,,
859,Nasua narica,122726,-105.4428077,20.4872919,,False,5,15.6,Mammalia,Carnivora,Procyonidae,25,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=454faa373dbc89d8c3c31c8be701aee3,454faa373dbc89d8c3c31c8be701aee3,No,NoDIsponible,,,,,,
74,Nasua narica,239293,-90.9567222,16.8915,,False,5,16.88,Mammalia,Carnivora,Procyonidae,102,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4550b1f7d917bf227993877aec11b725,4550b1f7d917bf227993877aec11b725,Si,NoDIsponible,No,Si,Si,,,
332,Nasua narica,226781,-92.9388627,17.9973811,,False,5,14.52,Mammalia,Carnivora,Procyonidae,14,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=456f6e0ba5382ae5ec6e30989be8479a,456f6e0ba5382ae5ec6e30989be8479a,No,NoDIsponible,,,,,,
1109,Nasua narica,208951,-95.0249,17.43202,,False,5,15.08,Mammalia,Carnivora,Procyonidae,23,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4579430d4dd732ec4501dd2f6b5cdb4b,4579430d4dd732ec4501dd2f6b5cdb4b,No,NoDIsponible,,,,,,
1001,Nasua narica,231060,-92.4640269,18.4559988,,False,5,12.22,Mammalia,Carnivora,Procyonidae,9,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45f75b05d36e619301b4015a54f1d943,45f75b05d36e619301b4015a54f1d943,No,NoDIsponible,,,,,,
522,Nasua narica,265472,-87.4388122,20.2042122,,False,5,15.33,Mammalia,Carnivora,Procyonidae,10,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=463eb9d17a97920aa70872eeb1269530,463eb9d17a97920aa70872eeb1269530,Si,NoDIsponible,No,Si,Si,,,
589,Nasua narica,118453,-106.0309194,23.3884474,,False,5,11.16,Mammalia,Carnivora,Procyonidae,604,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=46408e9a005c22a75896cc0918b1a38a,46408e9a005c22a75896cc0918b1a38a,No,NoDIsponible,,,,,,
