,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar
28,Aquiloeurycea galeanae,170720,-99.7697222,23.971944399999998,,False,4,44.64,Amphibia,Caudata,Plethodontidae,1383.0,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a3cdd6435aa32efcd1a6b5b11d13b3f,9a3cdd6435aa32efcd1a6b5b11d13b3f
29,Aquiloeurycea galeanae,170720,-99.7697222,23.971944399999998,,False,4,44.64,Amphibia,Caudata,Plethodontidae,1383.0,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f5e13c7dd93880d6be96b99c1ced08cd,f5e13c7dd93880d6be96b99c1ced08cd
30,Aquiloeurycea galeanae,170772,-99.9122222,24.327222199999998,,False,3,28.92,Amphibia,Caudata,Plethodontidae,1952.0,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04819e181465894e1ccbd7a772a15afa,04819e181465894e1ccbd7a772a15afa
31,Aquiloeurycea galeanae,170772,-99.9123626,24.327222199999998,,False,3,28.92,Amphibia,Caudata,Plethodontidae,1955.0,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a36249570aa1dbb5680dfa0d77ab412,4a36249570aa1dbb5680dfa0d77ab412
32,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c49f2277b4cd9edd0be83d0c435b8e,09c49f2277b4cd9edd0be83d0c435b8e
33,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fb47d453a83f456f54e78377e271643,1fb47d453a83f456f54e78377e271643
34,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20c6f7145a310caf2f746e91b8fe6ac0,20c6f7145a310caf2f746e91b8fe6ac0
35,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38811ec65da8abf231bfc3e05a46545f,38811ec65da8abf231bfc3e05a46545f
36,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4898143f8420c35ebe7bb261d6c84910,4898143f8420c35ebe7bb261d6c84910
37,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=504b06eb7f2a3a123c020759e2b7d4ac,504b06eb7f2a3a123c020759e2b7d4ac
38,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=81432258bc148d761fef0f206bf5129b,81432258bc148d761fef0f206bf5129b
39,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d79b35c64a8cca60f51ef46d92ad6957,d79b35c64a8cca60f51ef46d92ad6957
